Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,Company_Stage,Classifier_Date,Focus_Areas
Aviva Systems Biology,https://www.avivasysbio.com/,San Diego,,,"Antibodies, Peptides, Kits, etc.",,BPG,Unknown,2025-11-15,"Antibodies, Peptides, Kits, etc."
Avive Solutions,https://www.avive.life/,Brisbane,,,Automated External Defibrillator,,BPG,Unknown,2025-11-15,Automated External Defibrillator
Avvio Medical,https://avviomedical.com/,San Francisco,,,Kidney Stone Treatment,,BPG,Unknown,2025-11-15,Kidney Stone Treatment
Axbio,https://www.axbio.com/,Santa Clara,,,Biochips,,BPG,Unknown,2025-11-15,Biochips
Axim Biotech,https://aximbiotech.com/,San Diego,,,Ophthalmological Diagnostics,,BPG,Unknown,2025-11-15,Ophthalmological Diagnostics
Axiom,https://axi.om/,San Francisco,,,AI Toxicity Modeling,,BPG,Unknown,2025-11-15,AI Toxicity Modeling
AxisPharm,https://axispharm.com/,San Diego,,,"Bioanalytical Services, Proteomics, ADC Linker and Bioconjugation Services",,BPG,Service,2025-11-15,"Bioanalytical Services, Proteomics, ADC Linker and Bioconjugation Services"
Axon Therapies,https://axontherapies.com/,Santa Clara,,,Catheter Ablation System for Heart Failure,,BPG,Unknown,2025-11-15,Catheter Ablation System for Heart Failure
Axonics,https://www.axonics.com/,Irvine,,,Sacral Neuromodulation Device,,BPG,Unknown,2025-11-15,Sacral Neuromodulation Device
Axxin,https://www.axxin.com/,El Segundo,,,Diagnostic system,,BPG,Unknown,2025-11-15,Diagnostic system
Azalea Therapeutics,https://azaleatx.com/,Berkeley,,,Engineering Cells Directly Inside Each Patient,,BPG,Private,2025-11-15,Engineering Cells Directly Inside Each Patient
Azena Medical,https://www.azenamedical.com/,Walnut Creek,,,Pretty medical devices,,BPG,Unknown,2025-11-15,Pretty medical devices
Azenta Life Sciences,https://www.azenta.com/,La Jolla,,,Automation Products,,BPG,Unknown,2025-11-15,Automation Products
Azora Therapeutics,https://www.azoratherapeutics.com/,Los Angeles,,,"Novel small molecule new chemical entities for the treatment of autoimmune, inflammatory diseases",,BPG,Private,2025-11-15,"Novel small molecule new chemical entities for the treatment of autoimmune, inflammatory diseases"
BALT,https://baltgroup.com/,Irvine,,,Products for the interventional access and treatment of neurovascular diseases,,BPG,Unknown,2025-11-15,Products for the interventional access and treatment of neurovascular diseases
BCN Biosciences,http://www.bcnbio.com/,Pasadena,,,"Small Molecules, Monoclonal Antibodies",,BPG,Unknown,2025-11-15,"Small Molecules, Monoclonal Antibodies"
BP Logix Life Sciences,https://www.bplogix.com/life-sciences,Encinitas,,,Automation Software,,BPG,Unknown,2025-11-15,Automation Software
BPS Bioscience,https://bpsbioscience.com/,San Diego,,,Enzymes for Drug Discovery,,BPG,Unknown,2025-11-15,Enzymes for Drug Discovery
BTB Therapeutics,https://www.btbtherapeutics.com/en/,Escondido,,,Non-opioid therapies and novel RNA splicing modifiers,,BPG,Private,2025-11-15,Non-opioid therapies and novel RNA splicing modifiers
BacStitch DNA,https://bacstitchdna.com/,South SF,,,Engineering Bacteria for DNA Production,,BPG,Unknown,2025-11-15,Engineering Bacteria for DNA Production
Bachem,https://www.bachem.com/,Torrance,,,"Contract Peptides, Oligos",,BPG,Unknown,2025-11-15,"Contract Peptides, Oligos"
Bash Biotech,https://bashbio.com/,San Diego,,,"Kidney, Neuro Treatments",,BPG,Unknown,2025-11-15,"Kidney, Neuro Treatments"
Basilard BioTech,https://basilardbiotech.com/,Temecula,,,Gene Delivery Platform,,BPG,Unknown,2025-11-15,Gene Delivery Platform
Bausch Health,https://www.bauschhealth.com/,Irvine,,,Small Molecules,,BPG,Unknown,2025-11-15,Small Molecules
Bayer BioPartnering Solutions,https://www.bayer.com/en/us/BioPartneringSolutions,Berkeley,,,Biomanufacturing - recombinant protein and cell therapy modalities,,BPG,Unknown,2025-11-15,Biomanufacturing - recombinant protein and cell therapy modalities
Baylx,https://www.baylxinc.com/,Irvine,,,Stem Cell Therapeutics,,BPG,Unknown,2025-11-15,Stem Cell Therapeutics
Bayside Biosciences,http://baysidebio.com/,Santa Clara,,,Contract Preclinical Services,,BPG,Unknown,2025-11-15,Contract Preclinical Services
BeOne Medicines,https://beonemedicines.us/,San Carlos,,,"Small Molecules, Monoclonal Antibodies",,BPG,Private,2025-11-15,"Small Molecules, Monoclonal Antibodies"
Becton Dickinson,https://www.bd.com/en-us,San Diego,,,Lots of Biotechnology Products,,BPG,Unknown,2025-11-15,Lots of Biotechnology Products
Behavioral Pharma,https://www.behavioralpharma.com/,La Jolla,,,Preclinical Lab Services,,BPG,Private,2025-11-15,Preclinical Lab Services
Bel Air Pharmaceuticals,https://www.belairpharmaceuticals.net,Beverly Hills,,,"Wound Care, Diagnostics, Pain Management",,BPG,Private,2025-11-15,"Wound Care, Diagnostics, Pain Management"
Belharra Therapeutics,https://belharratx.com/,San Diego,,,"Small molecule drugs in oncology, immuno-oncology, autoimmune and neurodegenerative diseases",,BPG,Private,2025-11-15,"Small molecule drugs in oncology, immuno-oncology, autoimmune and neurodegenerative diseases"
Belite Bio,https://belitebio.com/#home,San Diego,,,Oral Small Molecules,,BPG,Unknown,2025-11-15,Oral Small Molecules
Beloteca,http://beloteca.com/index.html,San Diego,,,Generics & 505(b)(2) drugs,,BPG,Unknown,2025-11-15,Generics & 505(b)(2) drugs
Benchling,https://www.benchling.com/,San Francisco,,,Biotech Software,,BPG,Unknown,2025-11-15,Biotech Software
Benitec Biopharma,https://www.benitec.com/,Hayward,,,DdRNAi,,BPG,Private,2025-11-15,DdRNAi
Benthic Genomics,https://www.benthic.bio/,Mountain View,,,Sequencing Solutions,,BPG,Unknown,2025-11-15,Sequencing Solutions
Bespoke Biotherapeutics,https://bespokebiotx.com/,San Mateo,,,Genome Engineered B-cell Therapeutics,,BPG,Private,2025-11-15,Genome Engineered B-cell Therapeutics
Beta Bionics,https://www.betabionics.com/,Irvine,,,Artificial Pancreas,,BPG,Unknown,2025-11-15,Artificial Pancreas
Bexson Biomedical,https://www.bexsonbiomedical.com/,Santa Barbara,,,Subcutaneous Drug Delivery,,BPG,Unknown,2025-11-15,Subcutaneous Drug Delivery
Big Eye Diagnostics,https://www.bigeyedx.com/,San Diego,,,All Terrain Diagnostics,,BPG,Unknown,2025-11-15,All Terrain Diagnostics
BigHat Biosciences,https://www.bighatbio.com/,San Mateo,,,"BigHat designs safer, more effective biologic therapies using machine learning and synthetic biology",,BPG,Unknown,2025-11-15,"BigHat designs safer, more effective biologic therapies using machine learning and synthetic biology"
BillionToOne,https://www.billiontoone.com/,Menlo Park,,,Prenatal Genetic Testing,,BPG,Unknown,2025-11-15,Prenatal Genetic Testing
Binacea Pharma,https://binaceapharma.com/,Hayward,,,Cancer Antibodies,,BPG,Private,2025-11-15,Cancer Antibodies
Bio Applied Technologies Joint,http://www.batj.net/,San Diego,,,Biotech Services,,BPG,Unknown,2025-11-15,Biotech Services
Bio4t2,https://bio4t2.com/,San Diego,,,CAR-T Cell Therapies,,BPG,Unknown,2025-11-15,CAR-T Cell Therapies
BioAge Labs,https://bioagelabs.com/,Richmond,,,Computational platform that explores a universe of proprietary and public data to identify and target the molecular factors that influence longevity,,BPG,Research,2025-11-15,Computational platform that explores a universe of proprietary and public data to identify and target the molecular factors that influence longevity
BioAmp Diagnostics,https://bioampdx.com/,San Carlos,,,Diagnostics to counteract antibiotic resistance,,BPG,Unknown,2025-11-15,Diagnostics to counteract antibiotic resistance
BioAssay Systems,https://bioassaysys.com/,Hayward,,,Assays,,BPG,Unknown,2025-11-15,Assays
BioAtla,https://www.bioatla.com/,San Diego,,,Conditionally-active Biologics,,BPG,Unknown,2025-11-15,Conditionally-active Biologics
BioCardia,https://www.biocardia.com/,Sunnyvale,,,Personalized marrow-derived cell therapy,,BPG,Unknown,2025-11-15,Personalized marrow-derived cell therapy
BioChain,https://www.biochain.com/,Newark,,,Sample Preparation,,BPG,Unknown,2025-11-15,Sample Preparation
BioCorRx,https://www.biocorrx.com/,Anaheim,,,Addiction Treatments,,BPG,Unknown,2025-11-15,Addiction Treatments
BioDot,https://www.biodot.com/,Irvine,,,Equipment,,BPG,Unknown,2025-11-15,Equipment
BioEclipse Therapeutics,https://www.bioeclipse.com/,Mountain View,,,Immuno-Oncology,,BPG,Private,2025-11-15,Immuno-Oncology
BioGenex,https://biogenex.com/,Fremont,,,"Cellular & Molecular Diagnostics, Biotech Reagents",,BPG,Unknown,2025-11-15,"Cellular & Molecular Diagnostics, Biotech Reagents"
BioGrammatics,https://www.biogrammatics.com/,Carlsbad,,,Protein Expression,,BPG,Unknown,2025-11-15,Protein Expression
BioJiva,https://biojiva.com/,San Jose,,,,,BPG,Unknown,2025-11-15,BioJiva is a clinical stage pharmaceutical company pioneering the development of first-in-class therapeutics to treat degenerative diseases resulting from Lipid peroxidation (LPO).
BioLegacy Research,https://biolegacyresearch.com/,San Diego,,,Contract Research,,BPG,Unknown,2025-11-15,Contract Research
BioLegend,https://www.biolegend.com/,San Diego,,,"Cytokines, Reagents, etc.",,BPG,Unknown,2025-11-15,"Cytokines, Reagents, etc."
BioMap,https://www.biomap.com/en/,Palo Alto,,,AI Models,,BPG,Unknown,2025-11-15,AI Models
BioMarin Pharmaceutical,https://www.biomarin.com/,Novato,,,Biologics,,BPG,Public,2025-11-15,Biologics
BioNTech,https://www.biontech.com/int/en/home.html,San Diego,,,"mRNA, Vaccines, Biologics",,BPG,Unknown,2025-11-15,"mRNA, Vaccines, Biologics"
BioPioneer,https://www.biopioneerinc.com/,San Diego,,,Molecular Biology Reagents,,BPG,Unknown,2025-11-15,Molecular Biology Reagents
BioProduction Systems,https://www.bioproductionsystems.com/,Palo Alto,,,Biologic CDMO,,BPG,Unknown,2025-11-15,Biologic CDMO
BioQ Pharma,https://bioqpharma.com/,San Francisco,,,Drug infusion systems,,BPG,Private,2025-11-15,Drug infusion systems
BioSapien,https://biosapien.com/,San Diego,,,3D printed biodegradable mesh,,BPG,Unknown,2025-11-15,3D printed biodegradable mesh
BioSciencesCorp,https://www.biosciencescorp.com/,San Ramon,,,Biologics Services & Consulting,,BPG,Unknown,2025-11-15,Biologics Services & Consulting
BioSpring,https://www.biospring.net/,La Jolla,,,Manufacturing & Analytical Services,,BPG,Unknown,2025-11-15,Manufacturing & Analytical Services
BioSpyder Technologies,https://www.biospyder.com/,Carlsbad,,,Gene expression profiling,,BPG,Unknown,2025-11-15,Gene expression profiling
BioSuperior,https://bio-superior.com/,Los Altos,,,"Non-invasive, and easily accessible technologies to cure lung disease",,BPG,Unknown,2025-11-15,"Non-invasive, and easily accessible technologies to cure lung disease"
BioSyn,https://biosyncorp.com/,Carlsbad,,,Hemocyanin Products,,BPG,Unknown,2025-11-15,Hemocyanin Products
BioTechLogic,https://www.biotechlogic.com/,Walnut Creek,,,Biopharmaceutical Consulting,,BPG,Unknown,2025-11-15,Biopharmaceutical Consulting
BioTheryX,https://www.biotheryx.com/,San Diego,,,Small Molecules,,BPG,Unknown,2025-11-15,Small Molecules
BioTuring,https://bioturing.com/,San Diego,,,Bioinformatics Solutions,,BPG,Unknown,2025-11-15,Bioinformatics Solutions
BioVinc,https://biovinc.com/,Pasadena,,,Bone Targeted Therapeutics & Diagnostics,,BPG,Unknown,2025-11-15,Bone Targeted Therapeutics & Diagnostics
Bioagilytix,https://www.bioagilytix.com/,San Diego,,,"Bioanalytical services, immunoassays, cell-based assays",,BPG,Service,2025-11-15,"Bioanalytical services, immunoassays, cell-based assays"
Biocheck,https://biocheckinc.com/,South SF,,,"Develops, manufactures, and distributes immunodiagnostic test kits and research reagents",,BPG,Unknown,2025-11-15,"Develops, manufactures, and distributes immunodiagnostic test kits and research reagents"
Biolinq,https://www.biolinq.com/,San Diego,,,Needle-Free Blood Glucose Monitoring,,BPG,Unknown,2025-11-15,Needle-Free Blood Glucose Monitoring
Biolog,https://www.biolog.com/,Hayward,,,Cell Phenotyping Technology,,BPG,Unknown,2025-11-15,Cell Phenotyping Technology
Biologic Input Output Systems,https://www.biologicinputoutputsystems.com/,Carlsbad,,,Implantable system connecting the human peripheral nervous system to robotic limbs and digital devices,,BPG,Unknown,2025-11-15,Implantable system connecting the human peripheral nervous system to robotic limbs and digital devices
Biomarker Pharmaceuticals,http://www.biomarkerinc.com,San Jose,,,"Gene Expression, Nutraceuticals, Genotyping",,BPG,Private,2025-11-15,"Gene Expression, Nutraceuticals, Genotyping"
Biomea Fusion,https://biomeafusion.com/,Redwood City,,,Small Molecules Targeting Cancer,,BPG,Unknown,2025-11-15,Small Molecules Targeting Cancer
Biomed,https://www.biomedind.com/,San Jose,,,Small molecule for neurological disorders,,BPG,Unknown,2025-11-15,Small molecule for neurological disorders
Biomerica,https://biomerica.com/,Irvine,,,Diagnostic Tests,,BPG,Unknown,2025-11-15,Diagnostic Tests
Biomiga,https://biomiga.com/,San Diego,,,Molecular biology research products,,BPG,Unknown,2025-11-15,Molecular biology research products
Biomonadic,https://www.biomonadic.com/,Berkeley,,,Klotho Gene Therapy,,BPG,Unknown,2025-11-15,Klotho Gene Therapy
Bionano Genomics,https://bionano.com/,San Diego,,,Genome Mapping,,BPG,Unknown,2025-11-15,Genome Mapping
Bionaut Labs,https://bionautlabs.com/,Los Angeles,,,Robot Delivery of Therapeutics,,BPG,Research,2025-11-15,Robot Delivery of Therapeutics
Bioneer,https://us.bioneer.com/page/w/home,Oakland,,,Protein Synthesis Equipment & Reagents,,BPG,Unknown,2025-11-15,Protein Synthesis Equipment & Reagents
Bionexus,https://bionexus.net/,Oakland,,,Genomic & Proteomic products,,BPG,Unknown,2025-11-15,Genomic & Proteomic products
Bionova Scientific,https://bionovascientific.com/,Fremont,,,Full-service Biologics CDMO,,BPG,Unknown,2025-11-15,Full-service Biologics CDMO
Biopeptide Co.,https://www.biopeptide.com/,San Diego,,,Peptide Production,,BPG,Unknown,2025-11-15,Peptide Production
Biopico Systems,https://biopico.com/,Irvine,,,Biological testing technologies,,BPG,Unknown,2025-11-15,Biological testing technologies
Bioprocess AI,https://www.bioprocess.ai/,San Francisco,,,CMC Automation,,BPG,Unknown,2025-11-15,CMC Automation
Biora Therapeutics,https://www.bioratherapeutics.com/,San Diego,,,Oral Biotherapeutics for GI Health,,BPG,Private,2025-11-15,Oral Biotherapeutics for GI Health
BiosPacific,https://www.biospacific.com/,Emeryville,,,Antibodies and antigens,,BPG,Unknown,2025-11-15,Antibodies and antigens
Biosero,https://biosero.com/,San Diego,,,"Laboratory Automation, Liquid-handling",,BPG,Unknown,2025-11-15,"Laboratory Automation, Liquid-handling"
Biosplice Therapeutics,https://www.biosplice.com/default.aspx,San Diego,,,Small Molecules Acting on Stem Cells,,BPG,Private,2025-11-15,Small Molecules Acting on Stem Cells
Biotium,https://biotium.com/,Fremont,,,Fluorescent Reagents,,BPG,Unknown,2025-11-15,Fluorescent Reagents
Biotricity,https://biotricity.com/,Redwood City,,,"Remote cardiac monitoring devices, health management software",,BPG,Unknown,2025-11-15,"Remote cardiac monitoring devices, health management software"
Bitterroot Bio,https://brbio.com/,Palo Alto,,,Immune modulation to treat cardiovascular disease,,BPG,Unknown,2025-11-15,Immune modulation to treat cardiovascular disease
Blacksmith Medicines,https://blacksmithmedicines.com/,San Diego,,,Human Metalloenzyme-Targeted Medicines,,BPG,Private,2025-11-15,Human Metalloenzyme-Targeted Medicines
Bloom Science,https://bloomscience.com/,San Diego,,,Microbiota-Based Drug Discovery,,BPG,Unknown,2025-11-15,Microbiota-Based Drug Discovery
BlossomHill Therapeutics,https://bhtherapeutics.com/,San Diego,,,Small Molecule Drug Discovery,,BPG,Private,2025-11-15,Small Molecule Drug Discovery
BlueArc Biosciences,https://www.bluearcbio.com/,Del Mar,,,Diagnostics (Biosensors with Synthetic Biology,,BPG,Unknown,2025-11-15,Diagnostics (Biosensors with Synthetic Biology
BlueJay Therapeutics,https://bluejaytx.com/,Redwood City,,,"Monoclonal Antibody, Small Molecule",,BPG,Private,2025-11-15,"Monoclonal Antibody, Small Molecule"
Bodyport,https://www.bodyport.com/,San Francisco,,,Biomarker-guided digital therapeutics,,BPG,Unknown,2025-11-15,Biomarker-guided digital therapeutics
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/,Fremont,,,"Large molecule, biomanufacturing",,BPG,Unknown,2025-11-15,"Large molecule, biomanufacturing"
Bolt Biotherapeutics,https://www.boltbio.com/,Redwood City,,,Systemically delivered Immune-Stimulating Antibody Conjugates,,BPG,Private,2025-11-15,Systemically delivered Immune-Stimulating Antibody Conjugates
Bolt Medical,https://boltmed.com/,Carlsbad,,,Intravascular Lithotripsy,,BPG,Unknown,2025-11-15,Intravascular Lithotripsy
Bone Health Technologies,https://www.osteoboost.com/,San Francisco,,,Mechanical Bone Stimulation,,BPG,Unknown,2025-11-15,Mechanical Bone Stimulation
Boomerang Medical,https://www.boomerangmedical.com/,Mountain View,,,Bioelectric Medicine,,BPG,Unknown,2025-11-15,Bioelectric Medicine
Bora Biologics,https://www.borabiologics.com/,San Diego,,,Contract Biologics,,BPG,Unknown,2025-11-15,Contract Biologics
Borvo Medical,https://borvomedical.com/,Mountain View,,,Endoport Vacuum Assisted Collection,,BPG,Unknown,2025-11-15,Endoport Vacuum Assisted Collection
Boster Bio,https://www.bosterbio.com/,Pleasanton,,,"Antibodies, ELISA kits, etc.",,BPG,Unknown,2025-11-15,"Antibodies, ELISA kits, etc."
Boundless Bio,https://boundlessbio.com/,San Diego,,,Cancer Treatments targeting extra-chromosomal DNA,,BPG,Unknown,2025-11-15,Cancer Treatments targeting extra-chromosomal DNA
BrainKey,https://www.brainkey.ai/,San Francisco,,,AI for MRI analysis,,BPG,Unknown,2025-11-15,AI for MRI analysis
Braveheart Bio,https://www.braveheart.bio/,San Francisco,,,Therapeutics for hypertrophic cardiomyopathy and related conditions,,BPG,Unknown,2025-11-15,Therapeutics for hypertrophic cardiomyopathy and related conditions
Brenig Therapeutics,https://www.brenigther.com/,San Diego,,,Neurology-focused drug development company utilizing an AI/ML-based discovery platform,,BPG,Private,2025-11-15,Neurology-focused drug development company utilizing an AI/ML-based discovery platform
Brevet,https://www.brevet.com/,Huntington Beach,,,Custom Medical & Industrial Component Manufacturing,,BPG,Unknown,2025-11-15,Custom Medical & Industrial Component Manufacturing
BridGene Biosciences,https://www.bridgenebio.com/,San Jose,,,Small molecules that drug traditionally undruggable targets,,BPG,Unknown,2025-11-15,Small molecules that drug traditionally undruggable targets
BridgeBio Oncology Therapeutics,https://bridgebiooncology.com/,South SF,,,RAS-targeted small molecules,,BPG,Private,2025-11-15,RAS-targeted small molecules
BridgeBio Pharma,https://bridgebio.com/,Palo Alto,,,Genetic Disease Treatments,,BPG,Private,2025-11-15,Genetic Disease Treatments
Bright Cell,https://brightcellgroup.com/,Irvine,,,Stem Cell Banking. Technology,,BPG,Unknown,2025-11-15,Stem Cell Banking. Technology
Bright Uro,https://www.gleanuds.com/,Irvine,,,Urology Diagnostic Device,,BPG,Unknown,2025-11-15,Urology Diagnostic Device
BrightInsight,https://brightinsight.com/,San Jose,,,Digital Health Platform,,BPG,Unknown,2025-11-15,Digital Health Platform
Brii Biosciences,https://www.briibio.com/,San Mateo,,,"SIRNA, Biologics, Monoclonal Antibodies, Small Molecules",,BPG,Unknown,2025-11-15,"SIRNA, Biologics, Monoclonal Antibodies, Small Molecules"
Brink Biologics,https://brinkbiologics.com/,San Diego,,,Stem Cell Technology,,BPG,Unknown,2025-11-15,Stem Cell Technology
Brinter,https://brinter.com/,Santa Monica,,,"3D bioprinted bio-synthetic implants for soft tissue and cartilage repair, including meniscus and tendon",,BPG,Unknown,2025-11-15,"3D bioprinted bio-synthetic implants for soft tissue and cartilage repair, including meniscus and tendon"
Bristol Myers Squibb,https://www.bms.com/,Brisbane,,,"Small Molecules, Biologics",,BPG,Unknown,2025-11-15,"Small Molecules, Biologics"
BroadPharm,https://broadpharm.com/,San Diego,,,PEG & Biochemical Reagents,,BPG,Unknown,2025-11-15,PEG & Biochemical Reagents
Broadwing Bio,https://broadwing.bio/,South SF,,,Antibody based drugs for blindness,,BPG,Unknown,2025-11-15,Antibody based drugs for blindness
Broncus Medical,https://www.broncus.com/,San Jose,,,"Virtual Bronchoscopic Navigation, Peripheral Lung Biopsy",,BPG,Unknown,2025-11-15,"Virtual Bronchoscopic Navigation, Peripheral Lung Biopsy"
Bullseye Biosciences,https://www.bullseyebio.com/,San Francisco,,,Vascularized Organs,,BPG,Unknown,2025-11-15,Vascularized Organs
Buto,https://butocorp.com/,Davis,,,Alzheimer's & Fibrotic Disease Treatments,,BPG,Unknown,2025-11-15,Alzheimer's & Fibrotic Disease Treatments
Butterfly Network,https://www.butterflynetwork.com/,Palo Alto,,,Subscription Ultrasound Device,,BPG,Unknown,2025-11-15,Subscription Ultrasound Device
C.Light Technologies,https://www.clighttechnologies.com/,Santa Clara,,,Retinal Tracking for Disease Monitoring,,BPG,Unknown,2025-11-15,Retinal Tracking for Disease Monitoring
CAGE Bio,https://cagebio.com/,San Carlos,,,Deep Eutectic Ionic Liquids for Therapeutics,,BPG,Unknown,2025-11-15,Deep Eutectic Ionic Liquids for Therapeutics
CB Therapeutics,https://www.cbthera.com/,Carlsbad,,,Synthesis of Cannabinoids from Sugar,,BPG,Private,2025-11-15,Synthesis of Cannabinoids from Sugar
CBCC Global Research,https://www.cbcc.global/,Bakersfield,,,Clinical Services,,BPG,Unknown,2025-11-15,Clinical Services
CDR3 Therapeutics,https://cdr3therapeutics.com/,El Segundo,,,Stem Cell Therapy,,BPG,Private,2025-11-15,Stem Cell Therapy
CERo Therapeutics,https://www.cero.bio/,South SF,,,Cellular Immunotherapy,,BPG,Private,2025-11-15,Cellular Immunotherapy
CG Oncology,https://cgoncology.com/,Irvine,,,Oncolytic Virus,,BPG,Unknown,2025-11-15,Oncolytic Virus
CGT Global,https://cgt.global/,Folsom,,,Tissue Sourcing,,BPG,Unknown,2025-11-15,Tissue Sourcing
CHO-plus,https://www.cho-plus.com/,South Sf,,,Engineered mammalian cell lines and transfection methods for vastly improved therapeutic protein production and sialylation,,BPG,Unknown,2025-11-15,Engineered mammalian cell lines and transfection methods for vastly improved therapeutic protein production and sialylation
CMR Naviscan,https://cmr-naviscan.com/,Carlsbad,,,Medical imaging technology,,BPG,Unknown,2025-11-15,Medical imaging technology
CPC Scientific,https://cpcscientific.com/,San Jose,,,Peptides. Custom / Catalog.,,BPG,Unknown,2025-11-15,Peptides. Custom / Catalog.
CPTx,https://cptx.bio/,South SF,,,Gene-encoding single-stranded DNA,,BPG,Unknown,2025-11-15,Gene-encoding single-stranded DNA
CRISPR QC,https://crisprqc.com/,San Diego,,,Quality Control for CRISPR,,BPG,Unknown,2025-11-15,Quality Control for CRISPR
CS Bio,https://www.csbio.com/,Menlo Park,,,Peptide Synthesizers & Custom Synthesis,,BPG,Unknown,2025-11-15,Peptide Synthesizers & Custom Synthesis
CTK Biotech,https://ctkbiotech.com/,Poway,,,Diagnostics,,BPG,Unknown,2025-11-15,Diagnostics
CURE Pharmaceutical,https://curepharmaceutical.com/,Oxnard,,,Formulation; 505(b)(2),,BPG,Private,2025-11-15,Formulation; 505(b)(2)
CYMD,https://www.cymolecular.com/,San Diego,,,Oncology Diagnostics,,BPG,Unknown,2025-11-15,Oncology Diagnostics
CYP450-GP,https://www.cyp450-gp.com/,Vista,,,Reagents for Early Drug Development,,BPG,Unknown,2025-11-15,Reagents for Early Drug Development
CYTORUM,https://www.cytorum.com/,Santa Clara,,,Single Cell Analysis,,BPG,Unknown,2025-11-15,Single Cell Analysis
Cache DNA,https://www.cache-dna.com/,San Carlos,,,Biomolecule Preservation,,BPG,Unknown,2025-11-15,Biomolecule Preservation
Cairn Biosciences,https://www.cairnbio.com/,San Francisco,,,Live cell assays,,BPG,Unknown,2025-11-15,Live cell assays
CalBiotech,https://calbiotech.com/,El Cajon,,,Microplate Coating,,BPG,Unknown,2025-11-15,Microplate Coating
CalChem Synthesis,https://www.calchemsynthesis.com/,San Diego,,,Contract Chemistry,,BPG,Unknown,2025-11-15,Contract Chemistry
Cala Health,https://calahealth.com/,San Mateo,,,Neurological Device,,BPG,Unknown,2025-11-15,Neurological Device
CalciMedica,https://calcimedica.com/,La Jolla,,,Small Molecules,,BPG,Unknown,2025-11-15,Small Molecules
Caldera Medical,https://www.calderamedical.com/,Westlake Village,,,Surgical Implants for Women,,BPG,Unknown,2025-11-15,Surgical Implants for Women
Calico,https://www.calicolabs.com/,South SF,,,Aging treatments,,BPG,Unknown,2025-11-15,Aging treatments
Calidi Biotherapeutics,https://www.calidibio.com/,San Diego,,,Oncolytic Viruses,,BPG,Private,2025-11-15,Oncolytic Viruses
Calyxo,https://calyxoinc.com/,Pleasanton,,,Device for Kidney Stone,,BPG,Unknown,2025-11-15,Device for Kidney Stone
Camino Pharma,https://www.caminopharma.com/,San Diego,,,Cancer & Brain Therapies,,BPG,Private,2025-11-15,Cancer & Brain Therapies
Canary Medical,https://canarymedical.com/,Carlsbad,,,Implant Data Transmission,,BPG,Unknown,2025-11-15,Implant Data Transmission
Candid Therapeutics,https://www.candidrx.com/,San Diego,,,Antibodies for Autoimmune Diseases,,BPG,Private,2025-11-15,Antibodies for Autoimmune Diseases
Canon Medical Systems,https://us.medical.canon/,Tustin,,,Medical imaging tech company,,BPG,Unknown,2025-11-15,Medical imaging tech company
Cantabio Pharmaceuticals,https://www.cantabio.com/,Palo Alto,,,Neurological Therapies,,BPG,Private,2025-11-15,Neurological Therapies
Capacity Bio,https://www.capacitybio.com/,Los Angeles,,,Mitophagy,,BPG,Unknown,2025-11-15,Mitophagy
Capienda Biotech,https://capienda.us/,Carlsbad,,,Novel Technology for Drug Discovery,,BPG,Unknown,2025-11-15,Novel Technology for Drug Discovery
Capricor Therapeutics,https://www.capricor.com/,San Diego,,,Cell and exosome-based therapies for rare diseases,,BPG,Private,2025-11-15,Cell and exosome-based therapies for rare diseases
Capsida Biotherapeutics,https://capsida.com/,Thousand Oaks,,,AAV Gene Therapy,,BPG,Private,2025-11-15,AAV Gene Therapy
Capstan Medical,https://capstanmedical.com/,Santa Cruz,,,Heart Valve Replacement,,BPG,Unknown,2025-11-15,Heart Valve Replacement
Capulus Therapeutics,https://www.capulustx.com/,San Francisco,,,Small Molecules,,BPG,Private,2025-11-15,Small Molecules
Carbiotix,https://carbiotix.com/,Palo Alto,,,Gut Microbiota Testing,,BPG,Unknown,2025-11-15,Gut Microbiota Testing
Cardiff Oncology,https://cardiffoncology.com/,San Diego,,,Cancer Therapy,,BPG,Unknown,2025-11-15,Cancer Therapy
CardioDiagnostics,https://www.cardiodiagnostics.net/,Campbell,,,Cardiac Monitoring Services & Devices,,BPG,Unknown,2025-11-15,Cardiac Monitoring Services & Devices
CareDx,https://caredx.com/,Brisbane,,,Diagnostics,,BPG,Unknown,2025-11-15,Diagnostics
Caribou Biosciences,https://www.cariboubio.com/,Berkeley,,,Cellular Engineering Tools (CRISPR),,BPG,Unknown,2025-11-15,Cellular Engineering Tools (CRISPR)
Carl Zeiss Meditec,https://www.zeiss.com/meditec/en/home.html,Dublin,,,Medical Devices,,BPG,Unknown,2025-11-15,Medical Devices
Carlsbad Technology,http://carlsbadtech.com/,Carlsbad,,,"Generics, CMO",,BPG,Unknown,2025-11-15,"Generics, CMO"
Carlsmed,https://carlsmed.com/,Carlsbad,,,Surgical Workflow Platform,,BPG,Unknown,2025-11-15,Surgical Workflow Platform
Cartography Biosciences,https://cartography.bio/,South SF,,,Cancer Immunotherapies,,BPG,Unknown,2025-11-15,Cancer Immunotherapies
Catena Biosciences,https://catenabio.com/,Berkeley,,,Next-gen Protein Coupling,,BPG,Unknown,2025-11-15,Next-gen Protein Coupling
